distance_km,driver_experience_years,restaurant_rating,order_items,preparation_time_min,weather,traffic_level,time_of_day,vehicle_type,delivery_area,day_of_week,delivery_time_min
0.65,2.7,,1,11.3,Cloudy,Medium,Evening,Bike,Urban,Saturday,27.1
1.75,7.3,4.1,7,24.3,Clear,Medium,Afternoon,Car,Urban,Thursday,34.3
4.84,3.3,3.6,2,23.3,Clear,High,Evening,Bicycle,Urban,Tuesday,67.3
1.73,2.6,4.2,4,24.3,Storm,Medium,Evening,Bike,Urban,Tuesday,50.1
7.82,1.6,4.2,7,16.5,Clear,High,Morning,Car,Urban,Wednesday,64.8
8.61,,4.5,2,12.4,Clear,Low,Night,Car,Urban,Wednesday,32.9
8.3,2.9,4.1,2,17.3,,High,Evening,Car,Suburban,Monday,68.3
0.84,5.2,4.0,4,11.0,Fog,Medium,Evening,Scooter,Suburban,Saturday,30.2
4.6,3.8,4.4,4,17.6,Rain,High,Morning,Bike,Suburban,Wednesday,49.3
4.24,5.5,4.5,4,16.1,Cloudy,Medium,Afternoon,Bike,Suburban,Saturday,35.3
,1.6,3.6,4,24.8,Fog,Medium,Afternoon,Car,Suburban,Sunday,58.8
1.04,3.0,3.9,4,15.3,Clear,Medium,Night,Car,Suburban,Wednesday,26.1
4.2,3.3,3.3,2,15.7,Fog,High,Evening,Scooter,Urban,Sunday,58.0
1.02,4.8,3.8,4,22.6,Clear,High,Evening,Bike,Suburban,Tuesday,34.9
7.4,4.6,4.7,6,17.0,Clear,Low,Afternoon,Bike,Urban,Friday,37.8
0.5,0.7,3.7,7,14.4,Clear,High,Morning,Scooter,Urban,Sunday,38.9
12.85,7.5,4.3,5,19.8,Storm,High,Evening,Car,Urban,Saturday,103.2
5.63,2.7,4.3,5,11.3,Fog,High,Morning,Bike,Suburban,Tuesday,57.8
3.8,2.4,3.9,6,18.4,Cloudy,,Evening,Scooter,Suburban,Tuesday,31.0
6.42,7.2,3.9,2,10.6,Clear,High,Evening,Scooter,Rural,Tuesday,49.8
